"Actors
"Architects
"Artists
"Billionaires
"Civil servants
"Composers
"Diplomats
"Entrepreneurs
"Film directors
"Military chiefs
"Musicians
"Painters
"Philosophers and Scientists
"Poets
"Politicians
"Sportspeople
"Ekrem Akurgal
"Sedat Alp
"Halet Çambel
"Tahsin Özgüç
"Yunus Nadi Abalıoğlu
"Sait Faik Abasıyanık
"Halide Edip Adıvar
"Ahmet Ağaoğlu
"Süreyya Ağaoğlu
"Zeynep Ahunbay
"Yusuf Akçura
"Sunay Akın
"Muammer Aksoy
"Mustafa Akyol
"Alev Alatlı
"Sabahattin Ali
"Fikri Alican
"Ahmet Altan
"Çetin Altan
"İhsan Oktay Anar
"Melih Cevdet Anday
"Engin Ardıç
"Meltem Arıkan
"Ayşe Arman
"Cihat Arman
"Ömer Asan
"Duygu Asena
"Bülent Atalay
"Oğuz Atay
"İsmet Atlı
"Nihal Atsız
"Mustafa Balel
"Murat Bardakçı
"Can Bartu
"Enis Batur
"Sevtap Baycılı
"Ali Bayramoğlu
"Ataol Behramoğlu
"İlhan Berk – poet
"Turgut Berkes
"İsmail Beşikçi
"Yahya Kemal Beyatlı
"Üstün Bilgen-Reinart
"Mehmed Emîn Bozarslan
"Rıza Tevfik Bölükbaşı
"Eyüp Can
"Peride Celal
"Ahmet Hakan Coşkun
"Bekir Coşkun
"Necati Cumalı
"Ahmet Çakar
"Faruk Nafiz Çamlıbel
"Cengiz Çandar
"Hakan Çelik
"Muazzez İlmiye Çığ
"Emin Çölaşan
"Fazıl Hüsnü Dağlarca
"Can Dündar
"Bülent Ecevit
"Asli Erdogan
"Bikem Ekberzade
"Burak Eldem
"Haydar Ergülen
"Azra Erhat
"Mehmet Eroğlu
"Fahir Ersin
"Mehmet Akif Ersoy
"İclal Ersin
"Sabahattin Eyüboğlu
"Üzeyir Garih
"Reşat Nuri Güntekin
"Halil Gür
"Uğur Gürses
"Reşit Süreyya Gürsey
"Ahmet Haşim
"Abdülhak Şinasi Hisar
"Ahmed Hulusi
"Rıfat Ilgaz
"Atilla İlhan
"Sabit Ince
"Abdi İpekçi
"İsmail Cem İpekçi
"Cevat Şakir Kabaağaçlı
"Metin Kaçan
"Sabri Kalic
"Orhan Veli Kanık
"Ceyhun Atuf Kansu
"Yakup Kadri Karaosmanoğlu
"Orhan Karaveli
"Yaşar Kemal
"Coşkun Kırca
"Necip Fazıl Kısakürek
"Ahmet Taner Kışlalı
"Ahmet Köklügiller
"Doğan Kuban
"Onat Kutlar
"Zülfü Livaneli
"Perihan Mağden
"Nasuh Mahruki
"Uğur Mumcu
"Murathan Mungan
"Nezihe Muhiddin
"Münejjim Bashi
"Behçet Necatigil
"Aziz Nesin
"Sevin Okyay
"Cumhur Oranci
"Irfan Orga
"Altan Öymen
"Setenay Özbek
"İsmet Özel
"Ertuğrul Özkök
"Hasan Bülent Paksoy
"İskender Pala
"Orhan Pamuk
"Lokman Polat
"Peyami Safa
"Nejdet Sançar
"Aydilge Sarp
"Ali Riza Seyfi
"Ugur Soldan
"Cemal Süreya
"Elif Şafak
"Aşık Veysel Şatıroğlu
"Erman Şener
"Ferhan Şensoy
"Mahzuni Şerif
"Kemal Tahir
"Ahmet Hamdi Tanpınar
"Cahit Sıtkı Tarancı
"Abdülhak Hâmid Tarhan
"Latife Tekin
"Neyzen Tevfik
"Arzu Toker
"Metin Toker
"Mahmut Tolon
"Said Nursî
"Osman Nuri Topbaş
"Hasan Ali Toptaş
"Fatma Aliye Topuz
"Hıfzı Topuz
"Cavit Orhan Tütengil
"Halit Ziya Uşaklıgil
"Serhat Ulueren
"Bilge Umar
"Recep Uslu
"Yekta Uzunoglu
"Bahriye Üçok
"Ümit Ünal
"Ahmet Vardar
"Alinur Velidedeoğlu
"Sadık Yemni
"Mehmet Emin Yurdakul
"Can Yücel
"Feridun Zaimoğlu
"Ragıp Zarakolu
"Halide Nusret Zorlutuna
"Zafer Hanım
"Zülfü Livaneli
"Sabiha Gökçen
"Vecihi Hürkuş (1895-1969)
"Irfan Orga (1908-1970)
"Ali İsmet Öztürk (born 1964)
"Murat Öztürk (aviator) (1953-2013)
"Nezihe Viranyalı (1925-2004)
"Ahmet Ali Çelikten (1883-1969)
"Azra Akın
"Günseli Başar
"Keriman Halis Ece
"Neşe Erberk
"Tuğçe Kazaz
"Çağla Kubat
"Nazlı Deniz Kuruoğlu
"Arzum Onan
"Filiz Vural
"İshak Alaton
"Albert Jean Amateau
"Feyyaz Berker
"Serdar Bilgili
"Özhan Canaydın
"İlhan Cavcav
"Aydın Doğan
"Bülent Eczacıbaşı
"Nejat Eczacıbaşı
"Neşe Erberk
"Ahmet Ertegun
"Üzeyir Garih
"Sadi Gülçelik
"Rahmi Koç
"Vehbi Koç
"Temel Kotil
"Koç family
"Asil Nadir
"Ahmet Mücahid Ören
"Enver Oren
"Hüsnü Özyeğin
"Ali Sabancı
"Güler Sabancı
"Hacı Sabancı
"Hacı Ömer Sabancı
"İhsan Sabancı
"Mehmet Sabancı
"Ömer Sabancı
"Özdemir Sabancı
"Sakıp Sabancı
"Sevil Sabancı
"Şevket Sabancı
"Demir Sabancı
"Kahraman Sadıkoğlu
"Ferit Şahenk
"Kemal Şahin
"Kenan Sahin
"Faruk Süren
"Yavuz Tatış
"Cem Uzan
"Ibrahim Uzel
"Alp Yalman
"Hacı Mehmet Zorlu
"List of governors of Alanya
"Notable people from Ankara
"List of mayors of Giresun
"Remzi Aydın Jöntürk, film director
"List of notable people from Istanbul
"List of mayors of Istanbul
"List of Governors of Istanbul Province
"List of people from İzmir
"List of mayors of İzmir
"List of mayors of Mersin
"Müfide İlhan
"Ahmet Kireççi
"Nevit Kodallı
"Macit Özcan
"Seyhan Kurt
"Nevin Yanıt
"Atıf Yılmaz
"List of mayors of Zile
"Tansel Başer
"Sinan Erbil
"İsyan Erdoğan
"John Eren
"Didem Erol
"Aytek Genç
"Ersan Gülüm
"John Ilhan
