"Elizabeth Furse
"Diane von Fürstenberg
"Eva Gabor
"Jolie Gabor
"Magda Gabor
"Zsa Zsa Gabor
"Eduardo Garcia
"Joaquín "Jack" García
"Anu Garg
"Greer Garson
"George Gaynes
"Melissa George
"Leo Gerstenzang
"Tamara Geva
"Agostino Giuntoli
"Kurt Gödel
"Alexander Godunov
"Lev Gorn
"Sheilah Graham
"Jennifer Granholm
"Olga Grushin
"Walter Haeussermann
"Monty Hall
"Han Kuo-Huang
"Pamela Harriman
"Joseph Heco
"Svend O. Heiberg
"James Hillier
"Laura Hillman
"Ayaan Hirsi Ali
"Mary-Louise Hooper
"William Howard Hoople
"Bob Hope
"Ryszard Horowitz
"Aharon Ipalé
"Sreenivasa Rao Jammalamadaka
"Peter Jennings
"Ruth Prawer Jhabvala
"Helen Jonas-Rosenzweig
"Jason Jones
"Enrique Jordá
"Mark Kac
"Elizabeta Karabolli
"Karma
"Darius Kasparaitis
"Pál Kelemen
"Jim Yong Kim
"Werner Klemperer
"Richard Konkolski
"Anna Kournikova
"Ferdinand Kramer
"Kurt Kreuger
"Johan Kriek
"Denis Kudla
"Mila Kunis
"André Laguerre
"Nora Lam
"Hedy Lamarr
"Elsa Lanchester
"Lillie Langtry
"Angela Lansbury
"Bruce Lansbury
"Edgar Lansbury
"Tom Lantos
"Ian Laperrière
"Charles Laughton
"Eva Le Gallienne
"Anna Lee
"Francis F. Lee
"Wen Ho Lee
"Ivan Lendl
"Eugenie Leontovich
"Varvara Lepchenko
"Leon Leyson
"Raimundo Lida
"Sigmund Livingston
"Lo Ta-yu
"Gene Lockhart
"Kathleen Lockhart
"Alexander Lockwood
"Antonio Longoria
"Peter Lorre
"Celia Lovsky
"Tommy Lucchese
"Bela Lugosi
"Nola Luxford
"China Machado
"Sheila MacRae
"Tania Marmolejo
"Pamela Mason
"Roddy McDowall
"Peter McRobbie
"Walter Mehring
"Cesar Millan
"Juliet Mills
"Dawn Xiana Moon
"Arthur Mosse
"Caroline Mulroney
"Philip Murray
"Martina Navratilova
"Patrick Nee
"Pola Negri
"Leslie Nielsen
"Anaïs Nin
"Malik Obama
"Sylvia O'Brien
"Una O'Connor
"Rasmea Odeh
"Paul O'Dwyer
"William O'Dwyer
"Catherine O'Hara
"Dan O'Herlihy
"Hakeem Olajuwon
"Bennet Omalu
"John L. O'Sullivan
"Maureen O'Sullivan
"Rene Paulo
"Neil Peart
"Herbert Penzl
"Edgar Percival
"Poldek Pfefferberg
"Mary Pickford
"Christina Pickles
"Jose Pimentel
"Samuel Pisar
"Sam Pitroda
"Plácido Polanco
"Paulina Porizkova
"Otto Preminger
"William F. Prisk
"Joseph Pulitzer
"Robert Purvis
"Claude Rains
"Ayn Rand
"Gottfried Reinhardt
"Erich Maria Remarque
"Duncan Renaldo
"Oscar de la Renta
"Ida Rhodes
"Ben Rich
"Guillermo Rodriguez
"Tristan Rogers
"Arthur Rubinstein
"Alik Sakharov
"Ulf Samuelsson
"Kike Santander
"Ferdinando Sarmi
"Menachem Mendel Schneerson
"Franz Schulz
"Arnold Schwarzenegger
"Monica Seles
"Jack Shaindlin
"Tsoltim Ngima Shakabpa
"Norma Shearer
"Martin Short
"Alexandre Sidorenko
"Gene Simmons
"John Simon
"Jeet Singh
"Yakov Smirnoff
"Eugenia Smith
"Santo Sorge
"Archduke Stefan of Austria
"Horst Ludwig Störmer
"Lee Strasberg
"Otto Struve
"Douglas G. Stuart
"Francis L. Sullivan
"Yma Sumac
"Tomislav Sunić
"Nina Svetlanova
"Jessica Tandy
"Nikola Tesla
"Charlize Theron
"Andy Thomas
"Ivor Thord-Gray
"Richard Tom
"Tamara Toumanova
"George Trayser
"George Tremblay
"Laura Trevelyan
"George Trofimoff
"Melania Trump
"Dieter F. Uchtdorf
"Tracey Ullman
"Diana Van der Vlis
"Arnold Vosloo
"Emil Wolf
"Richard Wolffe
"John P. Woodall
"Fay Wray
"Arthur Wynne
"Xiaoxing Xi
"Xmithie
"Xue Feng
"Nicholas Yang
"Ebrahim Yazdi
"Leland Yee
"People with acquired American citizenshipHidden categories: Unreferenced BLPs from April 2019All unreferenced BLPsAll BLP articles lacking sourcesArticles that may contain original research from April 2019All articles that may contain original researchArticles with multiple maintenance issuesIncomplete lists from November 2018
