"Patu Tiava'asu'e Falefatu Sapolu
"Vui Florence Saulo
"Tofā Sauni
"Velega Savali
"Polataivao Fosi Schmidt
"Lefau Harry Schuster
"Carmel Sepuloni
"William Sio
"Tuiloma Neroni Slade
"Aiono Nonumalo Sofara
"Liufau Sonoma
"Va'aletoa Sualauvi II
"Faoa Aitofele Sunia
"Tauese Sunia
"Malietoa Tanumafili I
"Malietoa Tanumafili II
"Tu'u'u Ieti Taulealo
"Tafaoimalo Leilani Tuala-Warren
"Tu'u'u Ieti Taulealo
"Fuimaono Naoia Tei
"Tole’afoa Solomona To’ailoa
"Mata Tuatagaloa
"Tuanaitau F. Tuia
"Tuitama Talalelei Tuitama
"Save Liuato Tuitele
"Tuika Tuika
"Togiola Tulafono
"Tuala Falani Chan Tung
"Andria Tupola
"Bode Uale
"Asiata Sale'imoa Va'ai
"Tamaseu Leni Warren
"Iliafi Esera
"Otto Vincent Haleck
"Samani Pulepule
"Pio Taofinu'u
"Isaako Aaitui
"George Achica
"Al Afalava
"C.J. Ah You
"Harland Ah You
"Junior Ah You
"James Aiono
"Clifton Alapa
"Tyson Alualu
"Brad Anae
"Robert Anae
"Ricky Andrews
"Charley Ane
"Charlie Ane
"Donovan Arp
"Devin Asiasi
"Isaac Asiata
"Johan Asiata
"Matt Asiata
"Junior Aumavae
"Sal Aunese
"Kahlil Bell
"Kendrick Bourne
"Inoke Breckterfield
"Algie Brown
"DeForest Buckner
"Colby Cameron
"Jordan Cameron
"Su'a Cravens
"Scott Crichton
"Hershel Dennis
"Pita Elisara
"Luther Elliss
"Justin Ena
"DeQuin Evans
"Nuu Faaola
"Jonathan Fanene
"Ta'ase Faumui
"Wilson Faumuina
"Eletise Fiatoa
"Malcom Floyd
"Fou Fonoti
"Toniu Fonoti
"Chris Fuamatu-Maʻafala
"Setema Gali
"Randall Goforth
"Wayne Hunter
"Nate Ilaoa
"Junior Ioane
"Joey Iosefa
"Sale Isaia
"Mike Iupati
"Senio Kelemete
"Pat Kesi
"Hau'oli Kikaha
"Glen Kozlowski
"Mike Kozlowski
"Jake Kuresa
"Shawn Lauvao
"Dave Lefotu
"Kili Lefotu
"Sefo Liufau
"Joe Lobendahn
"Al Lolotai
"Shalom Luani
"Frankie Luvu
"Palauni Ma Sun
"Malaefou MacKenzie
"Kaluka Maiava
"Jordan Mailata
"Damien Mama
"Frank Manumaleuga
"Brandon Manumaleuna
"Vince Manuwai
"Marcus Mariota
"Jeremiah Masoli
"Hercules Mata'afa
"Fred Matua
"Rey Maualuga
"Josh Mauga
"Reagan Maui'a
"Itula Mili
"Roy Miller
"Trevor Misipeka
"Edwin Mulitalo
"Louis Murphy
"Kai Nacua
"Jim Nicholson
"Ken Niumatalolo
"Al Noga
"Niko Noga
"Shaun Nua
"Joe Onosai
"Nate Orchard
"Lonnie Palelei
"Anton Palepoi
"Tenny Palepoi
"Joe Paopao
"David Parry
"Saul Patu
"Domata Peko
"Kyle Peko
"Tupe Peko
"Leonard Peters
"Ropati Pitoitua
"Kennedy Polamalu
"Troy Polamalu
"Jeremiah Poutasi
