"Daru Taumua
"Lionel Taylor
"Lapalapa Toni
"Bill Tuiloma
"Suani Uelese
"Charlie Uhrle
"Sapati Umutaua
"Alexander Victor
"Pesamino Victor
"Yiu Hing Yiu Hing
"Im-Min Young
"Saleva'a Fuauli Atisano'e (Konishiki Yasokichi)
"Fiamalu Penitani (Musashimaru Kōyō)
"Kilifi Sapa (Nankairyū Tarō)
"Taylor Wily (Takamikuni)
"Evelina Afoa
"Daniel Bell
"Orinoco Faamausili-Banse
"Virginia Farmer
"Megan Fonteno
"Stewart Glenister
"Emma Hunter
"Robin Leamy
"Ching Maou Wei
"Monica Saili
"Brandon Schuster
"Alania Suttie
"Destanee Aiava
"Steffi Carruthers
"Tagifano So'Onalole
"Claudine Toleafoa
"Maggie Aiono
"Serafina Akeli
"Sarah Cowley
"Aunese Curreen
"Jeremy Dodson
"Elama Fa’atonu
"Gary Fanelli
"William Fong
"Emanuele Fuamatu
"Faresa Kapisi
"Alefosio Laki
"Anthony Leiato
"Jordan Mageo
"Lisa Misipeka
"Kelsey Nakanelua
"Alex Rose
"Savannah Sanitoa
"Shanahan Sanitoa
"Isaac Silafau
"Henry Smith
"Shaka Sola
"Chris Sua'mene
"Iloai Suaniu
"Eric Fonoimoana
"Garrett Muagututia
"Leslie Tuiasosopo-Gabriel
"Eric Brown
"Lopesi Faagu
"Faavae Faauliuli
"Vaipava Ioane
"Tanumafili Jungblut
"Eleei Lalio
"Siaosi Leuo
"Lauititi Lui
"Sanele Mao
"Uati Maposua
"Ofisa Ofisa
"Ele Opeloge
"Mary Opeloge
"Niusila Opeloge
"Petunu Opeloge
"Tovia Opeloge
"Toafitu Perive
"Alesana Sione
"Iuniarra Sipaia
"Feagaiga Stowers
"Tauama Timoti
"Silulu A'etonu (Judo)
"Tumua Anae (Water Polo)
"Rudolph Berking-Williams (Canoeing)
"Anne Cairns (Canoeing)
"Talitiga Crawley (Taekwondo)
"Aaron Edwards (Australian Football)
"Tony Finau (Golf)
"Natasha Hansen (Cycling)
"Sami Hill (Water Polo)
"Joe Kayes (Water Polo)
"Brad Kiltz (Bobsleigh)
"Ken Kinnersley (Cricket)
"Chris Kohlhase (Softball)
"Eddie Kohlhase (Softball)
"Sebastian Kohlhase (Cricket)
"Anthony Liu (Judo)
"Greg Louganis (Diving)
"Robert Lowrance (Sailing)
"Ata Matatumua (Cricket)
"Joseph Muaausa (Archery)
"Faauuga Muagututia (Bobsleigh)
"Bianca Netzler (Cycling)
"Louis Purcell (Amateur Wrestling)
"Rodney Reid (Cricket)
"Keilani Ricketts (Softball)
"Aleni Smith (Judo)
"Derek Sua (Judo)
"Murphy Su'a (Cricket)
"Fua Logo Tavui (Sailing)
"Ross Taylor (Cricket)
"Kaino Thomsen (Taekwondo)
"Nathaniel Tuamoheloa (Amateur Wrestling)
"Maureen Tuimalealiifano (Archery)
"Kuresa Tupua (Archery)
"Benjamin Waterhouse (Judo)
"Travolta Waterhouse (Judo)
"Lists of Samoan peopleHidden categories: Dynamic lists
