"George Atanasoski
"John Bitove
"John Bitove, Sr.
"Andy Peykoff
"Mike Ilitch - Founder of Little Caesars and owner of Detroit Red Wings and Detroit Tigers
"Mike Zafirovski - President and C.E.O of Nortel Networks
"Steve Stavro
"Pero Angeleski
"Zoran Baldovaliev (Зоран Балдовалиев)
"Boško Gjurovski (Бошко Ѓуровски)
"Mario Gjurovski (Марио Ѓуровски)
"Milko Gjurovski (Милко Ѓуровски)
"Dragi Setinov (Драги Сетинов)
"Gjorgji Hristov (Ѓорѓи Христов)
"Čedomir Janevski (Чедомир Јаневски)
"Marek Jankulovski (Марек Јанкуловски)
"Jovan Kirovski
"Goran Maznov (Горан Мазнов)
"Igor Mitreski (Игор Митрески)
"Ilčo Naumoski (Илчо Наумоски)
"Ilija Nestorovski (Илија Несторовски)
"Oka Nikolov (Ока Николов)
"Jane Nikolovski (Jане Николовски)
"Darko Pančev (Дарко Панчев)
"Goran Pandev (Горан Пандев)
"Saško Pаndev (Сашко Пандев)
"Robert Petrov (Роберт Петров)
"Goran Popov (Горан Попов)
"Robert Popov (Роберт Попов)
"Stevica Ristić (Стевица Ристиќ)
"Goce Sedloski (Гоце Седлоски)
"Goran Slavkovski (Горан Славковски)
"Vujadin Stanojković (Вујадин Станојковиќ)
"Mile Šterjovski (Миле Штерјовски)
"Veliče Šumulikoski (Величе Шумуликоски)
"Goce Toleski (Гоце Толески)
"Vančo Trajanov (Ванчо Трајанов)
"Jovica Trajčev (Јовица Трајчев)
"Ivan Tričkovski (Иван Тричковски)
"Aleksandar Vasoski (Александар Васоски)
"Blagoja Vidinić (Благоја Видиниќ)
"Peter Daicos
"Kiril Lazarov (Кирил Лазаров)
"Atina Bojadži
"Tomi Stefanovski
"Steve Staios
"Ed Jovanovski
"Dan Jancevski
"Steven Stamkos
"José Théodore
"Christopher Tanev
"Ace Rusevski (Аце Русевски)
"Redžep Redžepovski (Реџеп Реџеповски)
"Petar Naumoski (Петар Наумоски)
"Todor Gečevski (Тодор Гечевски)
"Vrbica Stefanov (Врбица Стефанов)
"Vlado Ilievski (Владо Илиевски)
"Pero Antić  (Перо Антиќ)
"Lina Gjorcheska (Лина Ѓорческа)
"Kevin Kouzmanoff
"Pete Stoyanovich
"Miroslav Grčev (Мирослав Грчев)
"Dimitar Avramovski–Pandilov (Димитар Аврамовски-Пандилов)
"Nikola Martinovski (Никола Мартиновски)
"Dimitar Kondovski (Димитар Кондовски)
"Lazar Ličenoski (Лазар Личеноски)
"Petar Mazev (Петар Мазев)
"Tomo Vladimirski  (Томо Владимирски)
"Vangel Kodžoman  (Вангел Коџоман)
"Rahim Blak
"Gavril Atanasov (Гаврил Атанасов)&#91;1&#93;
"Maja Hill
"Gligor Stefanov (Глигор Стефанов)
"Touriya Haoud
"Meto Jovanovski (Мето Јовановски)
"Labina Mitevska (Лабина Митевска)
"Tony Naumovski (Тони Наумовски)
"Naum Panovski (Наум Пановски)
"Igor Džambazov (Игор Џамбазов)
"Petre Prličko (Петре Прличко)
"Vlado Jovanovski (Владо Јовановски)
"Gjorgji Kolozov (Ѓорѓи Колозов)
"Toni Mihajlovski (Тони Михајловски)
"Petar Gligorovski (Петар Глигоровски)
"Milčo Mančevski (Милчо Манчевски)
"Apostol Trpeski (Апостол Трпески)
"Stole Popov (Столе Попов)
"Ziya Tong, television producer, TV host
"Georgi Efremov (Георги Ефремов)
"Ratko Janev (Ратко Јанев)
"Zoran T. Popovski  (Зоран Т. Поповски)
"Boris P. Stoicheff
"Nataša Jonoska
"Dimitrija Čupovski (Димитрија Чуповски)
"Gjorgji Pulevski&#91;1&#93; (Ѓорѓи Пулевски)
"Mihail Petruševski (Михаил Петрушевски)
"Metodija Andonov - Čento (Методија Андонов - Ченто)
"Stojan Andov (Стојан Андов)
"Strašo Angelovski (Страшо Ангеловски)
"Ljupco Arsov (Љупчо Арсов)
"Ljube Boškoski (Љубе Бошкоски)
"Vlado Bučkovski (Владо Бучковски)
"Branko Crvenkovski (Бранко Црвенковски)
"Ljubčo Georgievski (Љубчо Георгиевски)&#91;1&#93;
"Kiro Gligorov (Киро Глигоров)
"Nikola Gruevski (Никола Груевски)
"Gjorge Ivanov (Ѓорге Иванов)
"Gordana Jankuloska (Гордана Јанкулоска)
"Zoran Jolevski (Зоран Јолевски)
"Srgjan Kerim (Срѓан Керим)
"Lazar Koliševski (Лазар Колишевски)
"Hari Kostov (Хари Костов)
"Trifun Kostovski (Трифун Костовски)
"Ilinka Mitreva (Илинка Митрева)
"Lazar Mojsov (Лазар Мојсов)
"Tito Petkovski (Тито Петковски)
"Borko Temelkovski
"Lui Temelkovski (Луј Темелковски)
"Boris Trajkovski (Борис Трајковски)
"Vasil Tupurkovski (Васил Тупурковски)
"Zoran Zaev (Зоран Заев)
"Mirče Acev (Мирче Ацев)
"Mihajlo Apostolski (Михаjло Апостолски)
"Čede Filipovski Dame (Чеде Филиповски - Даме)
"Blagoj Jankov Mučeto (Благој Јанков Мучето)
"Orce Nikolov (Орце Николов)
"Strašo Pindžur (Страшо Пинџур)
"Hristijan Todorovski Karpoš (Христијан Тодоровски - Карпош)
"Yordan Piperkata (Јордан Силјанов - Пиперката)&#91;1&#93;
"Goce Delčev (Гоце Дечев)&#91;1&#93;
"Petar Pop Arsov (Петар Поп Арсов)&#91;1&#93;
"Dame Gruev (Даме Груев)&#91;1&#93;
"Jane Sandanski (Јане Сандански)&#91;1&#93;
"Dimitar Pop Georgiev - Berovski (Димитар Поп Георгиев Беровски)&#91;1&#93;
"Ilyo Voyvoda (Дедо Иљо Малешевски)&#91;1&#93;
"Pere Tošev (Пере Тошев)&#91;1&#93;
"Pitu Guli (Питу Гули)&#91;1&#93;
"Dimo Hadži Dimov (Димо Хаџи Димов)&#91;1&#93;
"Hristo Uzunov (Христо Узунов)&#91;1&#93;
"Gjorgji Abadžiev (Ѓорѓи Абаџиев)
"Petre M. Andreevski (Петре М. Андреевски)
"Maja Apostoloska (Маја Апостолоска)
"Dimitrija Čupovski (Димитрија Чуповски)
"Jordan Hadži Konstantinov-Džinot (Јордан Хаџи Константинов-Џинот) &#91;1&#93;
"Vasil Iljoski (Васил Иљоски)
"Slavko Janevski (Славко Јаневски)
"Blaže Koneski (Блаже Конески)
"Risto Krle (Ристо Крле)
"Vlado Maleski (Владо Малески)
"Mateja Matevski (Матеја Матевски)
"Krste Misirkov (Крсте Мисисрков) &#91;1&#93;
"Kole Nedelkovski (Коле Неделковски)
"Olivera Nikolova
"Anton Panov (Антон Панов)
"Gjorche Petrov (Ѓорче Петров) &#91;1&#93;
"Vidoe Podgorec (Видое Подгорец)
"Aleksandar Prokopiev (Александар Прокопиев)
"Kočo Racin (Кочо Рацин)
