"Cities
"Towns
"Villages
"Records
"Outline
"Portal
"Category
"Yagyū Jūbei Mitsuyoshi
"Yasuke (foreign born)
"Yamada Arinaga
"Yamada Arinobu
"Yamada Nagamasa
"Yamagata Masakage
"Yamanami Keisuke
"Yanagisawa Yoshiyasu
"Yonekura Shigetsugu
"Yagyū Munenori
"Yamauchi Kazutoyo
"Yūki Hideyasu
"Minamoto no Yoriie, r. 1202–1203&#91;128&#93;
"Minamoto no Sanetomo, r. 1203–1219&#91;129&#93;
"Kujō Yoritsune, r. 1226–1244&#91;130&#93;
"Kujō Yoritsugu, r. 1244–1252&#91;131&#93;
"Prince Munetaka, r. 1252–1266&#91;132&#93;
"Prince Koreyasu, r. 1266–1289&#91;133&#93;
"Prince Morikuni, r. 1308–1333&#91;135&#93;
"Prince Morinaga, r.1333–1334&#91;136&#93;
"Hōjō Tokimasa, r. 1203–1205&#91;137&#93;
"Hōjō Yoshitoki, r. 1205–1224&#91;138&#93;
"Hōjō Yasutoki, r. 1224–1242&#91;139&#93;
"Hōjō Tsunetoki, r. 1242–1246&#91;140&#93;
"Hōjō Tokiyori, r. 1246–1256&#91;141&#93;
"Hōjō Tokimune, r. 1268–1284&#91;142&#93;
"Hōjō Sadatoki, r. 1284–1301&#91;143&#93;
"Hōjō Morotoki, r. 1301–1311&#91;144&#93;
"Hōjō Takatoki, r. 1316–1326&#91;145&#93;
"Ashikaga Takauji, ruled 1338–1358&#91;146&#93;
"Ashikaga Yoshiakira, r. 1359–1368&#91;147&#93;
"Ashikaga Yoshimitsu, r. 1368–1394&#91;148&#93;
"Ashikaga Yoshimochi, r. 1395–1423&#91;149&#93;
"Ashikaga Yoshikazu, r. 1423–1425&#91;150&#93;
"Ashikaga Yoshinori, r. 1429–1441&#91;151&#93;
"Ashikaga Yoshikatsu, r. 1442–1443&#91;152&#93;
"Ashikaga Yoshimasa, r. 1449–1473&#91;153&#93;
"Ashikaga Yoshihisa, r. 1474–1489&#91;154&#93;
"Ashikaga Yoshitane, r. 1490–1493, 1508–1521&#91;155&#93;
"Ashikaga Yoshizumi, r. 1494–1508&#91;156&#93;
"Ashikaga Yoshiharu, r. 1521–1546&#91;157&#93;
"Ashikaga Yoshiteru, r. 1546–1565&#91;158&#93;
"Ashikaga Yoshihide, r. 1568&#91;159&#93;
"Ashikaga Yoshiaki, r. 1568–1573&#91;160&#93;
"Tokugawa Mitsukuni of the Mito domain&#91;161&#93;
"Tokugawa Nariaki of the Mito domain&#91;162&#93;
"Tokugawa Mochiharu of the Hitotsubashi branch
"Tokugawa Munetake of the Tayasu branch.&#91;163&#93;
"Matsudaira Katamori of the Aizu branch.&#91;164&#93;
"Matsudaira Sadanobu, born into the Tayasu branch, adopted into the Hisamatsu-Matsudaira of Shirakawa.&#91;165&#93;
"Emperor Jinmu
"Emperor Kōbun
"Emperor Tenmu
"Emperor Go-Toba
"Emperor Go-Daigo
"Kibitsuhiko-no-mikoto
"Yamato Takeru
"Empress Jingū
"Ōtomo no Otomaro
"Sakanoue no Tamuramaro
"Aterui
"Anami Korechika
"Doihara Kenji
"Enomoto Takeaki
"Kuroki Itei (Kuroki Tamemoto)
"Matsui Iwane
"Ōta Minoru
"Suzuki Kantarō
"Tōgō Heihachirō
"Tōjō Hideki
"Yamamoto Isoroku
"Shiro Kawase
"Ishiwara Kanji
"Daiki Arioka
"Goro Inagaki
"Hikaru Yaotome
"Hiroki Uchi
"Jin Akanishi
"Jun Matsumoto
"Junnosuke Taguchi
"Junichi Okada
"Kanata Hongō
"Katori Shingo
"Kazunari Ninomiya
"Kazuya Kamenashi
"Kei Inoo
"Keiichiro Koyama
"Keita Tachibana
"Keito Okamoto
"Kimura Takuya
"Koichi Domoto
"Koike Teppei
"Kota Yabu
"Kusano Hironori
"Masahiro Nakai
"Masaki Aiba
"Ryutaro Morimoto
"Shingo Murakami
"Ryo Nishikido
"Ryohei Chiba
"Ryuichi Ogata
"Ryosuke Yamada
"Satoshi Ohno
"Shigeaki Kato
"Shingo Murakami
"Sho Sakurai
"Shota Yasuda
"Subaru Shibutani
"Takahisa Masuda
