"Kubrat
"Kolyu Ficheto
"Georgi Fingov
"Naum Torbov
"Angel Metodiev
"Bencho Obreshkov
"Boris Georgiev
"Christo Yavashev - Christo
"Chudomir
"Dechko Uzunov
"Dimitre Mehandjiysky
"Ekaterina Savova-Nenova
"George Papazov
"Hristofor Zhefarovich
"Ilia Beshkov
"Ivan Markvichka
"Ivan Nenov
"Jules Pascin
"Keratza Vissulceva
"Konstantin Shtarkelov
"Nikola Avramov
"Nikola Marinov
"Radi Nedelchev
"Silvia Dimitrova
"Vladimir Dimitrov - Maistora
"Yaroslav Veshin
"Yanko Tihov
"Zahariy Zograf
"Zlatyu Boyadzhiev
"Ivan Minekov
"Christo
"Todor Todorov
"Vezhdi Rashidov
"Annie Ivanova, arts curator
"Peter Lazarov, graphic artist
"Alex Maleev, cartoonist
"Toma Tomov, graphic artist
"Delyan Peevski
"Emil Kyulev
"Georgi Naydenov
"Iliya Pavlov
"Kroum Pindoff
"Tihomir Kamenov
"Georgi Atanasov
"Prince Alexander of Battenberg
"Bogomil Bonev
"Boyko Borisov
"Todor Burmov
"Vulko Chervenkov
"Filip Dimitrov
"Georgi Dimitrov
"Konstantin Dimitrov
"Simeon Djankov
"Kimon Georgiev
"Reneta Indzhova
"Vasil Kolarov
"Ivan Kostov
"Andrey Lukanov
"Nadezhda Mihailova
"Georgi Parvanov
"Solomon Pasi
"Vasil Radoslavov
"Simeon Saxe-Coburg-Gotha
"Aleksandar Stamboliyski
"Stefan Stambolov
"Sergey Stanishev
"Petar Stoyanov
"Borislav Tsekov
"Zhan Videnov
"Zhelyu Zhelev
"Todor Zhivkov
"Todor Aleksandrov
"Georgi Benkovski
"Dame Gruev
"Gotse Delchev
"Tsanko Dyustabanov
"Hadzhi Dimitar
"Panayot Hitov
"Todor Kableshkov
"Stefan Karadzha
"Lyuben Karavelov
"Vasil Levski
"Georgi Obretenov
"Nikola Karev
"Nikola Obretenov
"Tonka Obretenova
"Gjorche Petrov
"Yane Sandanski
"Boris Sarafov
"Georgi Sava Rakovski
"Hristo Tatarchev
"Filip Totyu
"Panayot Volov
"Stoyan Zaimov
"Hristo Botev
"Mara Buneva
"Angel
"Apostol Petkov
"Chavdar
"Ilyo
"Indzhe
"Karposh
"Manush
"Kapitan Petko Voyvoda
"Stephan Angeloff, microbiologist
"Krassimir Atanassov, mathematician
"Angel Balevski, inventor
"Petar Beron, educator
"Veselin Beshevliev, classicist
"Georgi Bliznakoff, chemist
"Kiril Bratanov, biologist
"Ljubomir Chakaloff, mathematician
"George Chaldakov, vascular biologist
"Simeon Djankov, economist
"Stamen Grigorov, physician
"Asen Hadjiolov,  biologist
"Anastas Ishirkov, human geographer
"Christo Ivanov, organic chemist
"Assen Jordanoff, airplane constructor
"Rostislaw Kaischew, physical chemist
"Georgi Kitov, archaeologist
"Boicho Kokinov, cognitive scientist
"Georgi Lozanov, psychologist
"Georgi Manev, physicist
"Stefan Marinov, dissident physicist
"Georgi Nadjakov, physicist, discovered the external photoeffect
"Nikola Obreshkov, mathematician
"Dimiter Orahovats, physiologist
"Dimitar Paskov, pharmacist and chemist
"Angel Penchev, neurologist
"Peter Petroff, prolific inventor
"Ivan Atanassov Petrov, neurologist
"Stefka Petrova, nutritionist
"Dimitar Sasselov, astrophysicist
"Blagovest Sendov, mathematician
"Ivan Stranski, physical chemist, proposed the mechanism of Stranski-Krastanov growth
"Elka Todorova, social psychologist
"Asen Zlatarov, chemist
"Vasil Zlatarski, historian
"Stoyan Alexandrov
"Lyuben Berov
"Martin Dimitrov
"Simeon Djankov
"Nikolay Nenovsky
"Antoaneta Vassileva
"Peter Deunov
"Julia Kristeva
"Isaac Passy
"Tzvetan Todorov
"Maria Todorova
"Rostislav Dimitrov, triple jumper
"Yordanka Donkova, world record holder and one world title in hurdling (1988)
"Stefka Kostadinova, world record holder and two world titles in high jump (1987, 1995)
"Tereza Marinova
"Petya Pendareva, sprinter
"Iva Prandzheva
"Georgi Kostadinov, boxer, won the Olympic Flyweight gold medal at the 1972 Munich Olympic Games for Bulgaria
"Daisy Lang, boxer, world champion in three different weight categories
"Ivailo Marinov, boxer, won the Olympic Flyweight gold medal at the 1988 Seoul Olympic Games, among others
"Kubrat Pulev, boxer
"Tervel Pulev, boxer
"Svilen Rusinov, boxer
"Ivan Cheparinov, chess player
"Antoaneta Stefanova, Women's World Chess Champion (2004)
"Silvio Danailov, manager
"Veselin Topalov, FIDE World Chess Champion (2005)
"Aleksandra Delcheva
"Strashimira Filipova
"Lyubomir Ganev
"Evgeni Ivanov
"Matey Kaziyski
"Plamen Konstantinov
"Nikolay Nikolov
"Vladimir Nikolov
"Teodor Salparov
"Martin Stoev
"Hristo Tsvetanov
"Eva Yaneva
"Boyan Yordanov
"Ivan Zarev
"Antonina Zetova
"Andrey Zhekov
"Dimitar Zlatanov
"Georgi Asparuhov
"Krassimir Balakov
"Dimitar Berbatov
"Hristo Bonev
"Dinko Dermendzhiev
"Petar Houbchev
"Trifon Ivanov
"Ivan Kolev
"Emil Kostadinov
"Nikola Kotkov
"Yordan Letchkov
"Stanislav Manolev
"Borislav Mikhailov
"Dimitar Penev
"Luboslav Penev
"Martin Petrov
"Stiliyan Petrov
"Aleksandar Shalamanov
"Nasko Sirakov
"Hristo Stoichkov
"Darin Todorov
"Emil Urumov
"Dimitar Yakimov
"Zlatko Yankov
"Petar Zhekov
"Andrey Zhelyazkov
"Grigor Dimitrov
"Katerina Maleeva
"Magdalena Maleeva
"Manuela Maleeva
"Tsvetana Pironkova
"Blagoy Blagoev, silver medalist in Olympic Games (1980) and all-time senior world record holder in snatch (195.5&#160;kg, competing at 90&#160;kg)
"Nikolay Bukhalov, two Olympic and five world titles in canoeing
"Albena Denkova, World Figure Skating Champion in ice dancing (pairs) (2006, 2007)
"Georgi Georgiev, two world titles in Sambo (2003, 2006)
"Maria Gigova, three rhythmic gymnastics world titles (1969, 1971, 1973), Guinness World Records
"Mariya Grozdeva, sport shooter
"Ivan Ivanov, Olympic weightlifter
"Tanyu Kiryakov
"Dan Kolov, Bulgarian wrestler
"Kaloyan Mahlyanov (Kotooshu), sumo wrestler
"Maria Petrova, three rhythmic gymnastics world titles (1993, 1994, 1995), Guinness World Records
"Hristo Prodanov, mountaineer
"Evgeniya Radanova
"Neshka Robeva
"Alexander Rusev, Bulgarian wrestler, rower and powerlifter
"Valentin Yordanov, two Olympic, seven world and seven European titles in wrestling
"Yordan Yovchev, world champion and six-time Olympic gymnast
"Antim I
"Evtimiy of Tarnovo
"Vladislav the Grammarian
"Peter Deunov (Master Beinsa Douno), founder of the Universal White Brotherhood
"Silvena Rowe
"Ivan Zvezdev
"Borislav Georgiev
"Emil Kyulev
"Georgi Iliev
"Georgi Stoev
"Iliya Pavlov
"Konstantin "Samokovetsa" Dimitrov
"Vasil Iliev
"Bulgaria
"Bulgarians
"Bulgarian language
"Odrysian kingdom
"Old Great Bulgaria
"First Bulgarian Empire
"Second Bulgarian Empire
"Ottoman period
"Principality
"Tsardom
"People's Republic
"Bulgaria since 1989
"Balkan Mountains
"Balkan Peninsula
"Black Sea coast
"Cities and towns
"Earthquakes
"Islands
"Provinces
"Pirin
"Rila
"Rivers
"Rhodope Mountains
"Villages
"Constitution
"Elections
"Foreign relations
"Government
"Human rights
"LGBT
"Law
"enforcement
"Armed Forces
"National Assembly
"Political parties
"Agriculture
"Economic statistics
"Energy
"Industry
"Lev (currency)
"National bank
"Property bubble
"Science and technology
"Stock Exchange
"Tourism
"Transport
"Crime
"Demographics
"Turks in Bulgaria
"Education
"Health
"Languages
"Religion
"Media
"Cinema
"Coat of arms
"Cuisine
"Customs
"Dances
"Language
"Literature
"Music
"Public holidays
"Sports
"Category
"Portal
"Lists of Bulgarian people
